program,title,link,upvotes,bounty,vuln_type,date
HackerOne,File Name Enumeration ,hackerone.com/reports/33935,17,0.0,Information Disclosure,2014-11-17
X / xAI,Option Method Enabled on web server,hackerone.com/reports/33986,2,0.0,,2014-12-25
X / xAI,Options Method Enabled,hackerone.com/reports/33987,1,0.0,,2014-12-26
X / xAI,Bad extended ascii handling in HTTP 301 redirects of t.co,hackerone.com/reports/34084,1,0.0,Open Redirect,2015-08-09
Block.io,"SMPT Protection not used, I can hijack your email server.",hackerone.com/reports/34112,4,0.0,Cryptographic Issues - Generic,2015-08-13
Block.io,Various Low level Vulnerabilities,hackerone.com/reports/34188,2,0.0,Cross-site Scripting (XSS) - Generic,2015-05-03
X / xAI,XSS via Fabrico Account Name,hackerone.com/reports/34725,5,0.0,Cross-site Scripting (XSS) - Generic,2016-07-11
Block.io,Bypassed or command injection,hackerone.com/reports/34917,2,0.0,Command Injection - Generic,2015-01-01
Ian Dunn,XSS in Tagregator plugin,hackerone.com/reports/35036,4,0.0,Cross-site Scripting (XSS) - Generic,2016-08-18
Internet Bug Bounty,Locale::parseLocale Double Free,hackerone.com/reports/35102,1,2500.0,,2014-06-27
HackerOne,Gain reputation by creating a duplicate of an existing report,hackerone.com/reports/35237,14,0.0,Violation of Secure Design Principles,2015-08-14
X / xAI,getting emails of users/removing them from victims account [using typical attack],hackerone.com/reports/35287,4,0.0,Improper Authentication - Generic,2015-03-13
Factlink,File name/folder enumeration.,hackerone.com/reports/35823,7,0.0,Information Disclosure,2014-11-18
X / xAI,Headers Missing,hackerone.com/reports/36053,3,0.0,Violation of Secure Design Principles,2014-11-15
Phabricator,Content injection ,hackerone.com/reports/36112,2,0.0,Violation of Secure Design Principles,2014-12-15
HackerOne,Logic Issue with Reputation: Boost Reputation Points,hackerone.com/reports/36211,8,0.0,Violation of Secure Design Principles,2015-04-28
Internet Bug Bounty,mod_proxy_fcgi buffer overflow,hackerone.com/reports/36264,2,0.0,,2014-11-12
Internet Bug Bounty,Adobe Flash Player MP4 Use-After-Free Vulnerability,hackerone.com/reports/36279,2,2000.0,Memory Corruption - Generic,2015-03-11
Openfolio,Options Method Enabled,hackerone.com/reports/36409,1,0.0,Violation of Secure Design Principles,2014-12-21
ThisData,Missing SPF header on revert.io,hackerone.com/reports/36459,1,0.0,Violation of Secure Design Principles,2015-01-18
Coinbase,"New Device Confirmation, token is valid until not used. ",hackerone.com/reports/36594,3,0.0,Cryptographic Issues - Generic,2015-05-24
X / xAI,Notifications can mark as read by CSRF,hackerone.com/reports/36980,4,0.0,Cross-Site Request Forgery (CSRF),2015-01-03
X / xAI,[Stored XSS] vine.co - profile page,hackerone.com/reports/36986,2,0.0,Cross-site Scripting (XSS) - Generic,2015-03-26
X / xAI, Homograph attack. ,hackerone.com/reports/37108,2,0.0,Violation of Secure Design Principles,2015-01-01
Internet Bug Bounty,Race condition in Flash workers may cause an exploitabl​e double free,hackerone.com/reports/37240,14,0.0,Memory Corruption - Generic,2019-11-12
X / xAI,"Abuse of ""Remember Me"" functionality.",hackerone.com/reports/37822,3,0.0,Improper Authentication - Generic,2014-12-29
Greenhouse.io,Subdomain Takeover using blog.greenhouse.io pointing to Hubspot,hackerone.com/reports/38007,33,0.0,Cross-site Scripting (XSS) - Generic,2015-02-26
Internet Bug Bounty,Misc Python bugs (Memory Corruption & Use After Free),hackerone.com/reports/38170,2,0.0,,2014-10-04
Openfolio,xss in /browse/contacts/,hackerone.com/reports/38189,2,100.0,Cross-site Scripting (XSS) - Generic,2015-01-14
HackerOne,Breaking Bugs as team member,hackerone.com/reports/38232,4,0.0,Uncontrolled Resource Consumption,2014-12-09
HackerOne,Issue with password change,hackerone.com/reports/38343,5,500.0,Violation of Secure Design Principles,2015-05-28
Concrete CMS,SQL injection in conc/index.php/ccm/system/search/users/submit,hackerone.com/reports/38778,3,0.0,SQL Injection,2016-04-26
Concrete CMS,stored XSS in concrete5 5.7.2.1,hackerone.com/reports/38890,3,0.0,Cross-site Scripting (XSS) - Generic,2016-04-26
Phabricator,Phabricator Diffusion application allows unauthorized users to delete mirrors,hackerone.com/reports/38965,3,300.0,Improper Authentication - Generic,2015-01-09
HackerOne,"URL Crashing browser. {Tested on firefox, Chrome and Safari}",hackerone.com/reports/39139,5,0.0,Uncontrolled Resource Consumption,2016-05-25
Vimeo,[vimeopro.com] CRLF Injection,hackerone.com/reports/39181,10,0.0,,2016-10-24
C2FO,[admin.c2fo.com] Open Redirect,hackerone.com/reports/39198,10,0.0,Open Redirect,2016-10-29
Informatica,Missing SPF for informatica.com,hackerone.com/reports/39250,1,0.0,Violation of Secure Design Principles,2015-01-12
Phabricator,Phabricator Phame Blog Skins Local File Inclusion,hackerone.com/reports/39428,2,500.0,Code Injection,2015-01-14
X / xAI,Open redirection in fabric.io,hackerone.com/reports/39631,3,280.0,Open Redirect,2014-12-18
HackerOne,Reflected File Download,hackerone.com/reports/39658,10,0.0,Violation of Secure Design Principles,2016-04-25
X / xAI,"POODLE Bug: 199.16.156.44, 199.16.156.108, mx4.twitter.com",hackerone.com/reports/41240,1,140.0,Cryptographic Issues - Generic,2015-09-20
Enter,Error stack trace,hackerone.com/reports/41469,7,0.0,Information Disclosure,2015-04-03
Enter,Stored XSS in api key of operator wallet,hackerone.com/reports/41758,4,0.0,Cross-site Scripting (XSS) - Generic,2015-04-03
X / xAI,HTML/XSS rendered in Android App of Crashlytics through fabric.io,hackerone.com/reports/41856,5,0.0,Cross-site Scripting (XSS) - Generic,2015-02-18
Nearby Live,Gain access to any user's email address,hackerone.com/reports/42154,5,0.0,Information Disclosure,2015-03-14
Enter,stored xss in transaction,hackerone.com/reports/42161,3,0.0,Cross-site Scripting (XSS) - Generic,2015-04-03
X / xAI,"URGENT - Subdomain Takeover on users.tweetdeck.com , the same issue  of report #32825",hackerone.com/reports/42236,4,420.0,Code Injection,2015-01-01
Internet Bug Bounty,chrome allows POST requests with custom headers using flash + 307 redirect,hackerone.com/reports/42240,4,0.0,,2015-02-09
Concrete CMS,Stored XSS in adding fileset,hackerone.com/reports/42248,2,0.0,Cross-site Scripting (XSS) - Generic,2016-04-26
X / xAI,No rate limiting on creating lists,hackerone.com/reports/42250,1,0.0,Violation of Secure Design Principles,2015-01-06
Uber,XSS on partners.uber.com,hackerone.com/reports/42393,5,500.0,Cross-site Scripting (XSS) - Generic,2016-03-24
X / xAI,Account Deleted without any confirmation,hackerone.com/reports/42403,4,0.0,Improper Authentication - Generic,2015-02-05
Informatica,[careers.informatica.com] Cross Site Script Vulnerability on informatica,hackerone.com/reports/42537,10,0.0,Cross-site Scripting (XSS) - Generic,2017-05-10
Vimeo,Vimeo.com - Reflected XSS Vulnerability,hackerone.com/reports/42582,1,0.0,Cross-site Scripting (XSS) - Generic,2015-04-08
Vimeo,Vimeo.com - reflected xss vulnerability,hackerone.com/reports/42584,1,0.0,Cross-site Scripting (XSS) - Generic,2015-03-09
Vimeo,Vimeo.com Insecure Direct Object References Reset Password,hackerone.com/reports/42587,32,0.0,Improper Authentication - Generic,2015-02-26
Vimeo,APIs for channels allow HTML entities that may cause XSS issue,hackerone.com/reports/42702,2,0.0,Cross-site Scripting (XSS) - Generic,2015-01-08
Ruby on Rails,Data-Tags and the New HTML Sanitizer Subverts CSRF protection,hackerone.com/reports/42728,6,0.0,Cross-site Scripting (XSS) - Generic,2016-03-13
Nearby Live,Web Server information disclosure.,hackerone.com/reports/42780,2,0.0,Information Disclosure,2015-12-20
Ruby on Rails,Denial of Service in Action Pack Exception Handling,hackerone.com/reports/42797,8,0.0,Uncontrolled Resource Consumption,2015-06-16
X / xAI,fabric.io - app member can make himself an admin,hackerone.com/reports/42961,4,1400.0,Privilege Escalation,2015-03-09
X / xAI,Fabric.io - an app admin can delete team members from other user apps,hackerone.com/reports/43065,3,1120.0,Privilege Escalation,2015-03-09
Vimeo,Misconfigured crossdomain.xml - vimeo.com,hackerone.com/reports/43070,5,0.0,Cryptographic Issues - Generic,2015-02-09
HackerOne,HTTPS is not enforced for objects stored by HackerOne on Amazon S3,hackerone.com/reports/43280,5,0.0,Violation of Secure Design Principles,2015-03-08
Ruby on Rails,Arbitrary file existence disclosure in Action Pack,hackerone.com/reports/43440,5,0.0,,2014-11-20
Internet Bug Bounty,PyUnicode_FromFormatV crasher,hackerone.com/reports/43443,1,0.0,,2014-12-15
Vimeo,Buying ondemand videos that  0.1  and sometimes for free ,hackerone.com/reports/43602,4,0.0,Privilege Escalation,2015-02-13
Vimeo,Adding profile picture to anyone on Vimeo,hackerone.com/reports/43617,8,0.0,Violation of Secure Design Principles,2015-02-26
Vimeo,player.vimeo.com - Reflected XSS Vulnerability,hackerone.com/reports/43672,2,0.0,Cross-site Scripting (XSS) - Generic,2015-03-09
Vimeo,profile photo update bypass ,hackerone.com/reports/43758,2,0.0,Privilege Escalation,2015-02-17
Vimeo,Ability to Download Music Tracks Without Paying (Missing permission check on`/musicstore/download`),hackerone.com/reports/43770,5,0.0,Improper Authentication - Generic,2015-03-01
Vimeo,"Securing ""Reset password"" pages from bots",hackerone.com/reports/43807,11,0.0,Violation of Secure Design Principles,2017-01-31
Vimeo,No Limitation on Following allows user to follow people automatically!,hackerone.com/reports/43846,2,0.0,Cross-Site Request Forgery (CSRF),2016-05-02
Vimeo,abusing Thumbnails(https://vimeo.com/upload/select_thumb) to see a private video,hackerone.com/reports/43850,2,0.0,Privilege Escalation,2015-04-03
X / xAI,twitter android app Fragment Injection,hackerone.com/reports/43988,2,0.0,Command Injection - Generic,2015-04-11
Vimeo,CRITICAL full source code/config disclosure for Cameo,hackerone.com/reports/43998,5,0.0,Information Disclosure,2015-05-11
Vimeo,USER PRIVACY VIOLATED (PRIVATE DATA GETTING TRANSFER OVER INSECURE CHANNEL ) ,hackerone.com/reports/44056,2,0.0,Violation of Secure Design Principles,2015-01-20
Vimeo,Make API calls on behalf of another user (CSRF protection bypass),hackerone.com/reports/44146,31,0.0,Cross-Site Request Forgery (CSRF),2015-01-22
Vimeo,Open Redirection Security Filter bypassed,hackerone.com/reports/44157,3,0.0,Open Redirect,2015-06-28
Vimeo,Poodle bleed vulnerability in cloud sub domain,hackerone.com/reports/44202,6,0.0,Cryptographic Issues - Generic,2015-03-05
Vimeo,Application XSS filter function Bypass may allow Multiple stored XSS,hackerone.com/reports/44217,8,0.0,Cross-site Scripting (XSS) - Generic,2015-06-28
HackerOne,"Add text to the title of the page ""Thanks""",hackerone.com/reports/44359,5,0.0,Violation of Secure Design Principles,2016-04-25
X / xAI,Path disclosure in platform0.twitter.com,hackerone.com/reports/44371,1,0.0,Information Disclosure,2015-02-20
Vimeo,unvalid open authentication with facebook,hackerone.com/reports/44425,4,0.0,Improper Authentication - Generic,2015-01-21
X / xAI,Flaw in login with twitter to steal Oauth tokens,hackerone.com/reports/44492,6,0.0,Improper Authentication - Generic,2015-02-18
Vimeo,XSS on any site that includes the moogaloop flash player | deprecated embed code ,hackerone.com/reports/44512,6,0.0,Cross-site Scripting (XSS) - Generic,2015-02-22
Ruby on Rails,RCE due to Web Console IP Whitelist bypass in Rails 4.0 and 4.1,hackerone.com/reports/44513,13,0.0,Code Injection,2015-06-16
X / xAI,URGENT - SUBDOMAIN TAKEOVER ON TWITTER ACQ.,hackerone.com/reports/44578,2,0.0,Code Injection,2015-02-21
Mobile Vikings,Insecure crossdomain.xml,hackerone.com/reports/44652,6,0.0,Information Disclosure,2015-04-04
X / xAI,Insecure Data Storage in Vine Android App,hackerone.com/reports/44727,6,140.0,Cryptographic Issues - Generic,2015-06-24
Vimeo,Vimeo Search - XSS Vulnerability [http://vimeo.com/search],hackerone.com/reports/44798,3,0.0,Cross-site Scripting (XSS) - Generic,2015-01-23
HackerOne,Improper way of validating a program,hackerone.com/reports/44888,5,0.0,Cryptographic Issues - Generic,2015-02-04
Informatica,[community.informatica.com] - CSRF in Private Messages allows to move user's messages to Trash,hackerone.com/reports/45050,3,0.0,Cross-Site Request Forgery (CSRF),2016-03-02
Vimeo,Full account takeover via Add a New Email to account without email verified and without password confirmation.,hackerone.com/reports/45084,3,0.0,Violation of Secure Design Principles,2015-03-06
Mobile Vikings,Stored XSS in Direct debit name,hackerone.com/reports/45233,2,0.0,Cross-site Scripting (XSS) - Generic,2015-03-04
Mobile Vikings,"Number, username and name disclosure",hackerone.com/reports/45243,2,0.0,Information Disclosure,2015-03-04
Vimeo,ftp upload of video allows naming that is not sanitized as the manual naming,hackerone.com/reports/45368,2,0.0,Violation of Secure Design Principles,2015-01-29
Vimeo,CSRF bypass,hackerone.com/reports/45428,4,0.0,Cross-Site Request Forgery (CSRF),2015-01-30
Vimeo,XSS on Vimeo,hackerone.com/reports/45484,2,0.0,Cross-site Scripting (XSS) - Generic,2015-01-29
Zaption,[zaption.com] Open Redirect,hackerone.com/reports/45516,9,0.0,Open Redirect,2016-10-29
Vimeo,CRITICAL vulnerability - Insecure Direct Object Reference - Unauthorized access to `Videos` of Channel whose privacy is set to `Private`.,hackerone.com/reports/45960,5,0.0,Privilege Escalation,2015-03-18
Ruby on Rails,"Explicit, dynamic render path: Dir. Trav + RCE",hackerone.com/reports/46019,9,500.0,Code Injection,2016-02-12
HackerOne,Vulnerability with the way \ escaped characters in <http://danlec.com> style links are rendered,hackerone.com/reports/46072,21,5000.0,Cross-site Scripting (XSS) - Generic,2015-02-03
Vimeo,"Brute force on ""vimeo"" cookie",hackerone.com/reports/46109,3,0.0,Improper Authentication - Generic,2015-02-02
Vimeo,Can message users without the proper authorization,hackerone.com/reports/46113,7,0.0,Improper Authentication - Generic,2015-04-01
HackerOne,"In markdown, parsing things like @danlec and #46072 after links is unsafe",hackerone.com/reports/46312,7,0.0,,2015-07-04
Whisper,Directory index and information disclosure,hackerone.com/reports/46345,5,0.0,Information Disclosure,2017-03-29
Whisper,Error stack trace,hackerone.com/reports/46366,11,0.0,Information Disclosure,2017-03-29
Nearby Live,Group Invite not properly authenticated,hackerone.com/reports/46379,2,0.0,Improper Authentication - Generic,2015-02-12
HackerOne,Insecure Direct Object Reference vulnerability,hackerone.com/reports/46397,8,500.0,Violation of Secure Design Principles,2015-02-20
HackerOne,Team member invitations to sandboxed teams are not invalidated consistently,hackerone.com/reports/46429,5,500.0,Improper Authentication - Generic,2015-03-28
X / xAI,Problem with OAuth,hackerone.com/reports/46485,7,1260.0,Improper Authentication - Generic,2015-11-14
Enter,Frictionless Transferring of Wallet Ownership,hackerone.com/reports/46618,2,50.0,Violation of Secure Design Principles,2015-03-23
Enter,CSRF token leakage,hackerone.com/reports/46736,6,0.0,Cross-Site Request Forgery (CSRF),2015-03-23
Slack,Team admin can change unauthorized team setting (require_at_for_mention),hackerone.com/reports/46747,2,200.0,Privilege Escalation,2015-04-30
Slack,Team admin can change unauthorized team setting (allow_message_deletion),hackerone.com/reports/46750,3,100.0,Privilege Escalation,2015-05-30
X / xAI,Twitter Card - Parent Window Redirection,hackerone.com/reports/46818,3,560.0,Cross-site Scripting (XSS) - Generic,2015-05-04
HackerOne,Markdown parsing issue enables insertion of malicious tags and event handlers,hackerone.com/reports/46916,16,5000.0,Cross-site Scripting (XSS) - Generic,2015-04-07
HackerOne,Markdown code block sequence makes report unreadable,hackerone.com/reports/46952,6,0.0,,2015-06-29
Vimeo,subdomain takeover 1511493148.cloud.vimeo.com,hackerone.com/reports/46954,4,0.0,Violation of Secure Design Principles,2015-03-13
Internet Bug Bounty,Adobe Flash Player Out-of-Bound Access Vulnerability,hackerone.com/reports/47012,2,2000.0,Memory Corruption - Generic,2015-03-25
Internet Bug Bounty,Race condition in workers may cause an exploitable double free by abusing bytearray.compress()  ,hackerone.com/reports/47227,5,0.0,Memory Corruption - Generic,2015-03-25
Internet Bug Bounty,Use after free during the StageVideoAvailabilityEvent can result in arbitrary code execution,hackerone.com/reports/47232,1,0.0,Memory Corruption - Generic,2015-03-25
Internet Bug Bounty,Use After Free in Flash MessageChannel.send can cause arbitrary code execution,hackerone.com/reports/47234,1,0.0,Memory Corruption - Generic,2015-03-25
Informatica,XSS in Search Communities Function,hackerone.com/reports/47235,1,0.0,Cross-site Scripting (XSS) - Generic,2015-07-31
Ruby on Rails,JSON keys are not properly escaped,hackerone.com/reports/47280,8,0.0,Cross-site Scripting (XSS) - Generic,2015-06-16
Mobile Vikings,Reflected xss in user name thru cookie,hackerone.com/reports/47341,2,0.0,Cross-site Scripting (XSS) - Generic,2015-03-04
Mobile Vikings,Stored xss in user name,hackerone.com/reports/47343,2,0.0,Cross-site Scripting (XSS) - Generic,2015-03-04
Mobile Vikings,Stored xss in user name (2) affected another user.,hackerone.com/reports/47349,2,0.0,Cross-site Scripting (XSS) - Generic,2015-03-04
Mobile Vikings,CSRF token from another valid user session accepted,hackerone.com/reports/47357,2,0.0,Cross-Site Request Forgery (CSRF),2015-04-03
Mobile Vikings,Username and sim id enum,hackerone.com/reports/47358,3,0.0,Information Disclosure,2015-03-04
Mobile Vikings,Enum phone numbers thru /en/sims/topup/add/,hackerone.com/reports/47362,3,0.0,Improper Authentication - Generic,2015-04-03
Mobile Vikings,Approve topup method by sender of this method,hackerone.com/reports/47384,3,0.0,Improper Authentication - Generic,2015-03-04
HackerOne,"CSP Bypass: Click handler for links with data-method=""post"" can cause authenticity_token to be sent off domain",hackerone.com/reports/47472,10,2000.0,Cross-Site Request Forgery (CSRF),2015-02-26
Enter,Email Enumeration (POC),hackerone.com/reports/47627,12,0.0,Violation of Secure Design Principles,2015-05-27
Internet Bug Bounty,Heap overflow in H. Spencer’s regex library on 32 bit systems ,hackerone.com/reports/47779,2,0.0,Memory Corruption - Generic,2015-04-06
X / xAI,Reporting user's profile by using another people's ID,hackerone.com/reports/47888,4,140.0,Open Redirect,2015-06-11
Slack,Team admin can add billing contacts,hackerone.com/reports/47940,2,200.0,Privilege Escalation,2015-04-03
Coinbase,open authentication bug,hackerone.com/reports/48065,4,0.0,Improper Authentication - Generic,2015-03-11
Internet Bug Bounty,Bad Write in TTF font parsing (win32k.sys),hackerone.com/reports/48100,2,0.0,Memory Corruption - Generic,2015-03-01
HackerOne,Restrict any user from logging into his account.,hackerone.com/reports/48416,8,0.0,Improper Authentication - Generic,2015-03-24
HackerOne,Team member invitations to sandboxed teams are not invalidated consistently (v2),hackerone.com/reports/48422,6,500.0,Privilege Escalation,2015-02-27
X / xAI,Redirect URL in /intent/ functionality is not properly escaped,hackerone.com/reports/48516,3,0.0,Cross-site Scripting (XSS) - Generic,2015-02-24
Yelp,Information disclosure - emails disclosed in response > staging.seatme.us,hackerone.com/reports/49170,21,0.0,Cross-Site Request Forgery (CSRF),2017-05-11
Vimeo,Bypassing Email verification ,hackerone.com/reports/49304,2,0.0,,2015-03-29
Airbnb,I Can Delete Any Airbnb Users Symbol!,hackerone.com/reports/49356,5,0.0,Improper Authentication - Generic,2015-07-03
HackerOne,Substantially weakened authenticity verification when using 'Remember me for a week',hackerone.com/reports/49357,4,0.0,Cryptographic Issues - Generic,2015-03-12
X / xAI,Cross site Port Scanning bug in twitter developers console ,hackerone.com/reports/49474,4,0.0,Cryptographic Issues - Generic,2015-05-23
Airbnb,Generating Unlimited Free Travel Gift Invites | IDOR,hackerone.com/reports/49499,10,0.0,Information Disclosure,2015-04-04
Airbnb,Vulnerability type xss uncovered in airbnb.es,hackerone.com/reports/49513,4,0.0,Cross-site Scripting (XSS) - Generic,2015-04-08
Airbnb,SSL Issues,hackerone.com/reports/49537,3,0.0,Cryptographic Issues - Generic,2015-04-11
Vimeo,Vimeo + & Vimeo PRO Unautorised Tax bypass,hackerone.com/reports/49561,3,0.0,,2015-04-18
HackerOne,Auto Approval of Invitation to join Team as a Team member,hackerone.com/reports/49566,6,0.0,Violation of Secure Design Principles,2015-03-11
HackerOne,Improperly validated fields allows injection of arbitrary HTML via spoofed React objects,hackerone.com/reports/49652,22,5000.0,Cross-site Scripting (XSS) - Generic,2015-03-18
Vimeo,URGENT - Subdomain Takeover on status.vimeo.com due to unclaimed domain pointing to statuspage.io,hackerone.com/reports/49663,14,0.0,Cross-Site Request Forgery (CSRF),2015-04-18
X / xAI,Open Redirect leak of authenticity_token lead to full account take over.,hackerone.com/reports/49759,7,1400.0,Open Redirect,2015-04-03
X / xAI,Twitter Ads Campaign information disclosure through admin without any authentication.,hackerone.com/reports/49806,6,560.0,Improper Authentication - Generic,2015-04-25
Yelp,Missing X-Frame-Options header,hackerone.com/reports/49888,4,0.0,UI Redressing (Clickjacking),2017-11-09
Ruby on Rails,rails-ujs will send CSRF tokens to other origins,hackerone.com/reports/49935,3,0.0,Cross-Site Request Forgery (CSRF),2015-06-16
Enter,The csrf token remains same after user logs in,hackerone.com/reports/49974,4,50.0,Violation of Secure Design Principles,2015-11-26
X / xAI,XSS in original referrer after follow,hackerone.com/reports/50134,5,0.0,Cross-site Scripting (XSS) - Generic,2015-03-09
Adobe,Reflected Cross Site Scripting - 'puser' Parameter in login page,hackerone.com/reports/50157,5,0.0,Cross-site Scripting (XSS) - Generic,2015-05-09
Internet Bug Bounty,FREAK: Factoring RSA_EXPORT Keys to Impersonate TLS Servers,hackerone.com/reports/50170,5,0.0,Cryptographic Issues - Generic,2015-04-01
Adobe,files.acrobat.com stored XSS via send file,hackerone.com/reports/50358,4,0.0,Cross-site Scripting (XSS) - Generic,2015-04-14
Adobe,Open redirect and reflected xss in http://youthvoices.adobe.com/community?return_url=[payload her],hackerone.com/reports/50379,4,0.0,Cross-site Scripting (XSS) - Generic,2015-05-20
Adobe,Adobe XSS,hackerone.com/reports/50389,8,0.0,Cross-site Scripting (XSS) - Generic,2016-10-18
Concrete CMS,Self Xss on File Replace,hackerone.com/reports/50481,1,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Phabricator,Server Side Request Forgery in macro creation,hackerone.com/reports/50537,3,0.0,Information Disclosure,2015-03-09
Concrete CMS,Stored XSS on Blog's page Tile,hackerone.com/reports/50552,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored XSS on Title of Page List in edit page list,hackerone.com/reports/50554,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored XSS on Search Title,hackerone.com/reports/50556,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored XSS in Contact Form,hackerone.com/reports/50564,3,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored XSS in Title of the topic List,hackerone.com/reports/50626,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored XSS in title of date navigation,hackerone.com/reports/50627,3,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored XSS in Feature tile ,hackerone.com/reports/50639,3,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored Xss in Feature Paragraph,hackerone.com/reports/50642,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored XSS in  Testimonial  name,hackerone.com/reports/50644,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored XSS in Testimonial Position,hackerone.com/reports/50645,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored XSS in testimonial Company,hackerone.com/reports/50656,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
HackerOne,Reflected File Download attack allows attacker to 'upload' executables to hackerone.com domain,hackerone.com/reports/50658,4,0.0,Command Injection - Generic,2015-04-16
Concrete CMS,Stored XSS In Company URL,hackerone.com/reports/50662,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Ubiquiti Inc.,CSRF in login form would led to account takeover,hackerone.com/reports/50703,10,0.0,Cross-Site Request Forgery (CSRF),2016-06-20
X / xAI,open redirect sends authenticity_token to any website or (ip address),hackerone.com/reports/50752,1,560.0,Open Redirect,2015-03-14
Vimeo,A user can edit comments even after video comments are disabled,hackerone.com/reports/50776,3,0.0,Privilege Escalation,2015-03-11
Concrete CMS,Stored XSS in Bio/Quote,hackerone.com/reports/50779,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored XSS in Message to Display When No Pages Listed.,hackerone.com/reports/50780,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Concrete CMS,Stored XSS in Image Alt. Text,hackerone.com/reports/50782,2,0.0,Cross-site Scripting (XSS) - Generic,2015-07-08
Vimeo,A user can add videos to other user's private groups,hackerone.com/reports/50786,3,0.0,Privilege Escalation,2015-04-23
Vimeo,A user can post comments on other user's private videos,hackerone.com/reports/50829,3,0.0,Privilege Escalation,2015-03-11
Whisper,Bypass pin(4 digit passcode on your android app),hackerone.com/reports/50884,3,100.0,Privilege Escalation,2015-04-12
Whisper,CVE-2014-0224 openssl ccs vulnerability,hackerone.com/reports/50885,2,10.0,Cryptographic Issues - Generic,2015-04-10
Vimeo,A user can enhance their videos with paid tracks without buying the track,hackerone.com/reports/50941,2,0.0,Privilege Escalation,2015-10-14
IRCCloud,Email verification links still valid after changing it 2x,hackerone.com/reports/51166,4,0.0,Violation of Secure Design Principles,2015-03-13
Internet Bug Bounty,Flash Cross Domain Policy Bypass by Using File Upload and Redirection - only in Chrome,hackerone.com/reports/51265,3,0.0,,2015-05-06
Vimeo,Post in private groups after getting removed,hackerone.com/reports/51817,2,0.0,Privilege Escalation,2015-05-01
HackerOne,"Open redirect in ""Language change"".",hackerone.com/reports/52035,12,500.0,Open Redirect,2015-06-19
X / xAI,HTTP Response Splitting (CRLF injection) in report_story,hackerone.com/reports/52042,59,0.0,,2015-04-21
Vimeo,Insecure Direct Object References in https://vimeo.com/forums,hackerone.com/reports/52176,5,0.0,Improper Authentication - Generic,2015-05-04
Vimeo,Insecure Direct Object References that allows to read any comment (even if it should be private),hackerone.com/reports/52181,5,0.0,Improper Authentication - Generic,2015-05-04
HackerOne,"""learn more here"", reward email - domain expired.",hackerone.com/reports/52532,7,0.0,Open Redirect,2015-03-23
Ubiquiti Inc.,UniFi v3.2.10 Cross-Site Request Forgeries / Referer-Check Bypass,hackerone.com/reports/52635,8,0.0,Cross-Site Request Forgery (CSRF),2016-01-07
X / xAI,Insecure direct object reference - have access to deleted DM's,hackerone.com/reports/52646,10,0.0,Improper Authentication - Generic,2015-10-12
Vimeo,Invite any user to your group without even following him,hackerone.com/reports/52707,6,0.0,Privilege Escalation,2016-08-25
Vimeo,Share your channel to any user on vimeo without following him,hackerone.com/reports/52708,1,0.0,Privilege Escalation,2015-09-28
Phabricator,XSS with Time-of-Day Format,hackerone.com/reports/52822,2,0.0,Cross-site Scripting (XSS) - Generic,2015-04-19
Vimeo,[URGENT ISSUE] Add or Delete the videos in watch later list of any user .,hackerone.com/reports/52982,2,0.0,Cross-Site Request Forgery (CSRF),2015-05-01
Coinbase,Blacklist bypass on Callback URLs,hackerone.com/reports/53004,12,100.0,Information Disclosure,2016-09-14
Phabricator,SSRF vulnerability (access to metadata server on EC2 and OpenStack),hackerone.com/reports/53088,4,300.0,Information Disclosure,2015-03-26
X / xAI,XSS in twitter.com/safety/unsafe_link_warning,hackerone.com/reports/53098,4,1400.0,Cross-site Scripting (XSS) - Generic,2015-04-03
Mapbox,Logging a user into attacker's account using password reset link,hackerone.com/reports/53531,23,600.0,Violation of Secure Design Principles,2017-10-20
Mapbox,Stored xss in editor ,hackerone.com/reports/53730,12,1000.0,Cross-site Scripting (XSS) - Generic,2017-08-17
X / xAI,HTTP Response Splitting (CRLF injection) due to headers overflow,hackerone.com/reports/53843,30,0.0,,2015-05-04
X / xAI,Insecure Direct Object Reference - access to other user/group DM's,hackerone.com/reports/53858,10,0.0,Privilege Escalation,2015-10-03
HackerOne,Reflected Filename Download,hackerone.com/reports/54034,9,0.0,Code Injection,2016-04-25
